Timestamp,class_time,age,born_syr,parent_born_syr,born_nys,parent_born_nys,chocolate,adirondacks,nys_fair,fav_music_25,fav_music_24,fav_soc_med,fav2_soc_med,fav_vid_game,fav_marvel,fav_star_wars,three_words
5/23/2025 10:02,9:52 AM,11 years and 5 months,Yes,Yes,Yes,Yes,White Chocolate,1 or 2 times,3-5 times,"Doechii, Billie Elish, Lady Gaga",Ariana Grande,YouTube,TikTok,Cookie Run: Kingdom,none,none,"sigma, anime, skibidi"
5/23/2025 10:02,9:52 AM,12 years and 7 months,Yes,Yes,Yes,Yes,Dark Chocolate,Never,3-5 times,Korn,Korn,TikTok,YouTube,Call of Duty,Thor,Mandolorian,"sigma, rizz, ohio"
5/23/2025 10:03,9:52 AM,12 years and 1 month,No,No,No,No,"Dark Chocolate, Milk Chocolate",Never,3-5 times,"Jessie Murph, Billie Eilish",Taylor Swift,TikTok,Snapchat,none,Spider-Man,none,"bro, get out, so preppy"
5/23/2025 10:03,9:52 AM,12 years and 0 months,Yes,Yes,Yes,Yes,Milk Chocolate,Never,More than 10 times,Morgan Wallen,Ed Sheeran,Snapchat,YouTube,Fortnite,Spider-Man,Yoda,"wassup, what's goody, bro"
5/23/2025 10:03,9:52 AM,11 years and 9 months,Yes,No,Yes,No,"Milk Chocolate, White Chocolate",Never,More than 10 times,Michael Jackson,Michael Jackson,YouTube,Snapchat,LEGO Games,I am Iron Man,Anakin Skywalker/Darth Vader,
5/23/2025 10:03,9:52 AM,12 years and 6 months,Yes,Yes,Yes,Yes,"Dark Chocolate, Milk Chocolate",1 or 2 times,Never,Kendrick Lamar,"Tyler, The Creator",YouTube,Audible,Minecraft,Sentry,Han Solo,"wassup, aight bet, brah, yooooo, chat"
5/23/2025 10:03,9:52 AM,12 years and 1 month,No,Yes,No,Yes,Milk Chocolate,Never,3-5 times,Nirvana,Nirvana,TikTok,Instagram,Roblox,Spider-Man,Darth Vader,"bro, oh, wait actually"
5/23/2025 10:04,9:52 AM,12 years and 1 month,Yes,Yes,Yes,Yes,Milk Chocolate,1 or 2 times,5-10 times,Metallica,Imagine Dragons,YouTube,none,Fortnite,Hulk,Chewbacca,😁🤣😛
5/23/2025 10:06,9:52 AM,12 years and 0 months,Yes,No,Yes,No,Milk Chocolate,Never,3-5 times,Jhené Aiko,SZA,TikTok,Snapchat,Block Blast,Spider-Man,Baby Yoda,"bro, what the hellyonce, ur chuzz, tuff"
5/23/2025 10:04,9:52 AM,12 years and 1 month,Yes,Yes,Yes,Yes,"Milk Chocolate, White Chocolate",Never,More than 10 times,Morgan Wallen,Taylor Swift,Snapchat,YouTube,Roblox,none,Baby Yoda,I'm hungry
5/23/2025 10:05,9:52 AM,12 years and 5 months,Yes,No,Yes,No,"Milk Chocolate, White Chocolate",Never,More than 10 times,beabadoobee,Sabrina Carpenter,TikTok,Snapchat,Roblox,Spider-Man,Baby Yoda,"what the helly, are we deadhuzz, the chuzz"
5/23/2025 10:05,9:52 AM,12 years and 5 months,Yes,Yes,Yes,Yes,Milk Chocolate,3-5 times,Never,NLE Choppa,Ice Cube,YouTube,Snapchat,Call of Duty,Spider-Man,Anakin Skywalker/Darth Vader,bruzz
5/23/2025 10:05,9:52 AM,11 years and 8 months,Yes,Yes,Yes,Yes,Milk Chocolate,Never,More than 10 times,Lil Tecca,Lil Tecca,Snapchat,TikTok,NHL 25,Spider-Man,Anakin Skywalker/Darth Vader,"huzz, bruzz"
5/23/2025 10:05,9:52 AM,12 years and 0 months,Yes,Yes,Yes,Yes,White Chocolate,Never,More than 10 times,LiL Fay Fay,Juice WRLD,YouTube,Snapchat,Madden NFL 25,Spider-Man,none,"rizz, chat, bruh"
5/23/2025 10:05,9:52 AM,13 years and 0 months,Yes,Yes,Yes,No,Milk Chocolate,1 or 2 times,5-10 times,"The Beatles, Bruno Mars",Bruno Mars,YouTube,Instagram,Roblox,none,none,
5/23/2025 10:08,9:52 AM,12 years and 3 months,No,Yes,Yes,No,Milk Chocolate,Never,More than 10 times,"Drake, PARTYNEXTDOOR, A Boogie wit da Hoodie","Drake, PARTYNEXTDOOR, A Boogie wit da Hoodie",TikTok,Instagram,Call of Duty Rebirth,none,Darth Maul,"chopped, alr, gng"
5/23/2025 10:08,9:52 AM,11 years and 6 months,Yes,Yes,Yes,Yes,Milk Chocolate,Never,More than 10 times,Jack Black,Jack Black,YouTube,TikTok,Minecraft,Black Panther,Chewbacca,none
5/26/2025 23:41,8:52 AM,11 years and 7 months,Yes,Yes,Yes,Yes,Milk Chocolate,1 or 2 times,5-10 times,Bruno Mars,Sabrina Carpenter,TikTok,YouTube,Roblox,Superman,none,"slay, bruh, preppy"
